Id,Indikator,"Tendensi hambatan dalam hubungan sosial, neourotis","Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala",Tendensi aspirasi lebih besar dari pada kemampuan,Normal
New Doc 2019-12-18 21.15.51_1,"[‘Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala‘]",0,1,0,0
New Doc 2019-12-18 21.15.51_2,"[‘Tendensi hambatan dalam hubungan sosial, neourotis‘]",0,0,0,0
New Doc 2019-12-18 21.15.51_3,"[‘Tendensi hambatan dalam hubungan sosial, neourotis‘]",1,0,0,0
New Doc 2019-12-18 21.15.51_4,"[‘Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala‘]",0,1,0,0
New Doc 2019-12-18 21.15.51_5,"[‘Tendensi hambatan dalam hubungan sosial, neourotis‘]",1,0,0,0
New Doc 2019-12-18 21.15.51_6,"[‘Tendensi hambatan dalam hubungan sosial, neourotis‘]",1,0,0,0
New Doc 2019-12-18 21.15.51_7,[‘Normal‘],0,0,0,1
New Doc 2019-12-18 21.15.51_8,[‘Tendensi aspirasi lebih besar dari pada kemampuan‘],0,0,1,0
New Doc 2019-12-18 21.15.51_9,[‘Normal‘],0,0,0,1
New Doc 2019-12-18 21.15.51_10,"[‘Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala‘]",0,1,0,0
New Doc 2019-12-18 21.15.51_11,[‘Normal‘],0,0,0,1
New Doc 2019-12-18 21.15.51_12,"[‘Tendensi hambatan dalam hubungan sosial, neourotis‘]",1,0,0,0
New Doc 2019-12-18 21.15.51_13,[‘Normal‘],0,0,0,1
New Doc 2019-12-18 21.15.51_14,"[‘Tendensi hambatan dalam hubungan sosial, neourotis‘]",1,0,0,0
New Doc 2019-12-18 21.15.51_15,[‘Normal‘],0,0,0,1
New Doc 2019-12-18 21.15.51_16,"[‘Tendensi hambatan dalam hubungan sosial, neourotis‘]",1,0,0,0
New Doc 2019-12-18 21.15.51_17,"[‘Tendensi hambatan dalam hubungan sosial, neourotis‘]",1,0,0,0
New Doc 2019-12-18 21.15.51_18,[‘Normal‘],0,0,0,1
New Doc 2019-12-18 21.15.51_19,[‘Normal‘],0,0,0,1
New Doc 2019-12-18 21.15.51_20,[‘Normal‘],0,0,0,1
New Doc 2019-12-18 21.15.51_21,"[‘Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala‘]",0,1,0,0
New Doc 2019-12-18 21.15.51_22,[‘Normal‘],0,0,0,1
New Doc 2019-12-18 21.15.51_23,[‘Normal‘],0,0,0,1
New Doc 2019-12-18 21.15.51_24,"[‘Tendensi hambatan dalam hubungan sosial, neourotis‘]",1,0,0,0
New Doc 2019-12-18 21.15.51_25,[‘Tendensi aspirasi lebih besar dari pada kemampuan‘],0,0,1,0
New Doc 2019-12-18 21.15.51_26,"[‘Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala‘]",0,1,0,0
New Doc 2019-12-18 21.15.51_27,[‘Normal‘],0,0,0,1
New Doc 2019-12-18 21.15.51_28,[‘Normal‘],0,0,0,1
New Doc 2019-12-18 21.15.51_29,[‘Tendensi aspirasi lebih besar dari pada kemampuan‘],0,0,1,0
New Doc 2019-12-18 21.15.51_30,[‘Normal‘],0,0,0,1
New Doc 2019-12-18 21.15.51_31,[‘Normal‘],0,0,0,1
New Doc 2019-12-18 21.15.51_32,"[‘Tendensi hambatan dalam hubungan sosial, neourotis‘]",1,0,0,0
New Doc 2019-12-18 21.15.51_33,[‘Tendensi aspirasi lebih besar dari pada kemampuan‘],0,0,1,0
New Doc 2019-12-18 21.15.51_34,"[‘Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala‘]",0,1,0,0
New Doc 2019-12-18 21.15.51_35,"[‘Tendensi hambatan dalam hubungan sosial, neourotis‘]",1,0,0,0
New Doc 2019-12-18 21.15.51_36,"[‘Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala‘]",0,1,0,0
