Id,Indikator
1_3,"[‘Kecenderungan ekshibisionis, merasa mampu diterima secara sosial, ketergantungan sosial ‘ , ‘Bersemangat dan motivasi berprestasi ‘, ‘Memiliki adaptasi yang cukup baik, bersifat egosentris, insecure dan rigid, berusaha kontrol secara cermat ‘, ‘Penuntut, menguasai, menentang kekuasaan, dorongan bermusuhan, yakin diri, anxiety, tegang, kerusakan otak organis, manic ‘, ‘Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala ‘, ‘Tekanan/ tuntutan kejantanan ‘ , ‘Paranoia dan menampakkan fantasi, angan-angan ‘, ‘Kemungkinan ada konflik seksual, takut pada kastrasi ‘, ‘Tendensi orang depresif dengan kompensasi tertawa lebar ‘, ‘Kesadaran pribadi goncang, keraguan ‘, ‘Kompensasi ketidak pastian , tak bisa mengambil keputusan takut bertanggung jawab, fantasi ‘, ‘Ketidakseimbangan emosi, konflik peran seksualnya ‘, ‘Menolak atau ketidaksediaan berhubungan dengan sosial. Psikopat, ingin berhubungan sosail tapi merasa kurang mampu, inferior, takut, dll. (pasif). (biasanya ada kombinasi dengan yang ada kancinya) ‘ , ‘normal ‘, ‘Deprifasi afeksi, ketergantungan pada ibu ‘]"
2_3,"[‘Depresif, tidak mengakui kenyataan, tertekan secraa neurotis, kurang dorongan berprestasi ‘ ,’ Bersemangat dan motivasi berprestasi ‘, ‘Dikuasai emosi, menekankan masa yang lalu, tendensi impulsif, self oriented, depresif tapi banyak frustasi, introfert, bayak dikendalikan ketaksadaran ‘, ‘Ada hambatan berhubungan dengan lingkungan, biasa nampak pada tendensi skizoid ‘, ‘Tendensi hambatan dalam hubungan sosial, neourotis ‘, ‘Paranoia dan menampakkan fantasi, angan-angan , ‘Tendensi orang depresif dengan kompensasi tertawa lebar ‘, ‘Kesadaran pribadi goncang, keraguan ‘, ‘Lancar , felksibel, seimbang dan merasa mampu ‘ , ‘Ambisi, kemauan lemah, merasa lemah, loyo ‘ , ‘Cenderung ke arah paranoid ‘, ‘Perasaan tertekan dan tergantung yang bersifat patologis, tidak mampu, perasaan kastrasi, kesulitan dalam menanggapi adanya dorongan seksuil ‘, ‘Perasaan tidak mampu, kurang efektif, sakit-sakitan, tertekan ‘, ‘Kurang mantap pada kekuatan fisiknya ‘, ‘Biasa, mudah menyatakan dorongan, tanpa hambatan, sebaliknya mungkin menyatakan kefleksbelan terhadap kontrolm seksuil ‘]"
3_3,"[‘Kecenderungan ekshibisionis, merasa mampu diterima secara sosial, ketergantungan sosial ‘ , ‘Bersemangat dan motivasi berprestasi ‘, ‘Dikuasai emosi, menekankan masa lalu, tendensi impulsif, selforiented, introvert, banyak dikendalikan ketidaksa-daran, depresif ‘, ‘Penuntut, menguasai, menentang kekuasaan, dorongan bermusuhan, yakin diri, anxiety, tegang, kerusakan otak organis, manic ‘, ‘Tendensi hambatan dalam hubungan sosial, neourotis ‘, ‘Erotis protes/ kemungkinan ada konflik ‘, ‘Rangsangan /gairah seksuil ‘, ‘Oral agresif (suka mengkritik) tendensi menyerang secara oral, sinisme ‘, ‘Kesadaran pribadi goncang, keraguan ‘, ‘Adanya dorongan agresif ‘, ‘Ketidakseimbangan emosi, konflik peran seksualnya ‘, ‘Ambisi, kemauan lemah, merasa lemah, loyo ‘, ‘Agresi terhadap/ sebagai penutupan terhadap kelemahan atau kekuarangan terhadap dirinya (biasanya disertai dengan gambar kancing baju yang jelas) ‘, ‘Narsistis (pemujaan terhadap pakaian) ‘, ‘Ketergantungan ‘] "
4_3,"[‘Depresif, tidak mengakui kenyataan, tertekan secraa neurotis, kurang dorongan berprestasi ‘ , ‘Bersemangat dan motivasi berprestasi ‘ , ‘Memiliki adaptasi yang cukup baik, bersifat egosentris, insecure dan rigid, berusaha kontrol secara cermat ‘, ‘Penuntut, menguasai, menentang kekuasaan, dorongan bermusuhan, yakin diri, anxiety, tegang, kerusakan otak organis, manic ‘, ‘Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala ‘, ‘Sifat kekacauan pada individu ‘, ‘Bermusuhan dan mengancam, bersemangatt, indikasi pamer terutama pada gadis, hoimoseksual. Histeris egoistik ‘, ‘Oral agresif (suka mengkritik) tendensi menyerang secara oral, sinisme ‘, ‘Kesadaran pribadi goncang, keraguan ‘ , ‘Adanya dorongan agresif ‘, ‘Ketidakseimbangan emosi, konflik peran seksualnya ‘, ‘Pandangan tidak pasti, scizoprenic depressi, aktiviyas, produktif, guilty feelings berhubungan dengan permusuhan seksuil ‘ , ‘Perasaan tidak pasti dalam kontak sosial, perasaan tidak mampu, permusuhan dan seksuil, guilty feeling dari sikap agresif ‘, ‘Sifat kepala batu ‘, ‘Narsistis (pemujaan terhadap pakaian) ‘, ‘Ketergantungan ‘]"
5_3,"[‘Depresif, tidak mengakui kenyataan, tertekan secraa neurotis, kurang dorongan berprestasi’,’ Bersemangat dan motivasi berprestasi ‘ , ‘Dikuasai emosi, menekankan masa yang lalu, tendensi impulsif, self oriented, depresif tapi banyak frustasi, introfert, bayak dikendalikan ketaksadaran ‘, ‘Ada hambatan berhubungan dengan lingkungan, biasa nampak pada tendensi skizoid ‘, ‘Tendensi hambatan dalam hubungan sosial, neourotis ‘, ‘Egosentris histeris, tidak masak, egosentris, regresi ‘, ‘Tendensi orang depresif dengan kompensasi tertawa lebar ‘, ‘Kompensasi ketidak pastian , tak bisa mengambil keputusan takut bertanggung jawab, fantasi ‘, ‘Dorongan kekuatan fisik, merasa mampu ‘, ‘Konflik dalam kontak dengan orang lain, sifat agresi, terlebih bila hal ini terdapat pada anak umur belasan tahun, tendensi psikopat (pada orang dewasa) ‘, ‘Usaha untuk kuat, ingin memperbaiki hubungan sosial karena merasa tak pasti dan mantap, biasa(nornal)unutk remaja dan orang muda ‘, ‘Penolakan terhadap impuls  fisik, kehilangan kebanggaan fisik,  biasa digambar oleh anak-anak ‘, ‘Wajar bagi anak kecil, Tendesi infantil (bagi orang dewasa) ‘, ‘Wajar bagi anak kecil, Tendesi infantil (bagi orang dewasa) ‘]"
6_3,"[‘Depresif, tidak mengakui kenyataan, tertekan secraa neurotis, kurang dorongan berprestasi ‘, ‘Negativisme pada diri sendiri, agresif, memberontak ‘, ‘Penuntut, menguasai, menentang kekuasaan, dorongan bermusuhan, yakin diri, anxiety, tegang, kerusakan otak organis, manic ‘, ‘Tendensi hambatan dalam hubungan sosial, neourotis ‘, ‘Merasa kurang jantan ‘, ‘Egosentris histeris, tidak masak, egosentris, regresi ‘, ‘Psikosomatik pada pernafasan, memak-sakan diri, berpura-pura sebagai kompensasi perasan tidak menerima, tendensi menunjukkan senyum ‘, ‘Melakukan Kontrol intelektual terhadap impuls-impuls atau dorongannya, Melakukan Kontrol intelektual terhadap impuls-impuls atau dorongannya ‘, ‘Lancar , felksibel, seimbang dan merasa mampu ‘, ‘Gangguan otak yang berhubungan dengan motorik ‘, ‘Rasa bersalah, masturbasi, curang, merampas ‘, ‘Merasa kurang lincah, kurang mampu ‘, ‘Vitalitas lemah ‘, ‘Kurang mantap pada kekuatan fisiknya ‘]"
7_3,"[‘Kecenderungan ekshibisionis, merasa mampu diterima secara sosial, ketergantungan sosial ‘, ‘Bersemangat dan motivasi berprestasi ‘, ‘Dikuasai emosi, menekankan masa yang lalu, tendensi impulsif, self oriented, depresif tapi banyak frustasi, introfert, bayak dikendalikan ketaksadaran ‘, ‘Ada hambatan berhubungan dengan lingkungan, biasa nampak pada tendensi skizoid ‘, ‘Tendensi castrasi kompleks ‘, ‘Egosentris histeris, tidak masak, egosentris, regresi ‘, ‘Psikosomatik pada pernafasan, memak-sakan diri, berpura-pura sebagai kompensasi perasan tidak menerima, tendensi menunjukkan senyum ‘, ‘Tendensi oposisi terhadap otoritas/atasannya ‘,‘Adanya dorongan agresif ‘, ‘Kurang mampu mengontrol dorongan , mungkin permusuhan ‘, ‘Lancar , felksibel, seimbang dan merasa mampu ‘, ‘Cenderung ke arah paranoid ‘, ‘Wajar bagi anak kecil, Tendesi infantil (bagi orang dewasa) ‘, ‘normal ‘, ‘Obsesif kompulsif ‘]"
8_3,"[‘Kecenderungan ekshibisionis, merasa mampu diterima secara sosial, ketergantungan sosial’, ‘Bersemangat dan motivasi berprestasi’, ‘Memiliki adaptasi yang cukup baik, bersifat egosentris, insecure dan rigid, berusaha kontrol secara cermat ‘, ‘Penyesuaian diri baik ‘, ‘Tendensi aspirasi lebih besar dari pada kemampuan ‘, ‘Tekanan/ tuntutan kejantanan ‘, ‘Wajar, normal ‘, ‘Rasa ingin tau hal dosa, konflik voyourism ‘, ‘Psikosomatik pada pernafasan, memak-sakan diri, berpura-pura sebagai kompensasi perasan tidak menerima, tendensi menunjukkan senyum ‘, ‘Adanya dorongan agresif ‘, ‘mungkin rigid, penggabungan impils yang baik ‘, ‘Dorongan kekuatan fisik, merasa mampu ‘, ‘Ambisi, kemauan lemah, merasa lemah, loyo ‘, ‘Cenderung ke arah paranoid ‘, ‘Kurang merasakan kepauasan fisik, mencoba menunjukkan kekuatan fisik ‘, ‘Merasa kurang lincah, kurang mampu ‘, ‘Kebutuhan yang besar akan rasa aman, butuh banyak dorongan ‘, ‘Pemujaan terhadap fisik, introfert, self absorbed, pemujaan terhadap perkembangan fisik, tendensi suka berfantasi di dalam pergaulan sosial, kurang berpastisipasi sosilal ‘, ‘Biasa, mudah menyatakan dorongan, tanpa hambatan, sebaliknya mungkin menyatakan kefleksbelan terhadap kontrolm seksuil ‘]"
9_3,"[‘Kecenderungan ekshibisionis, merasa mampu diterima secara sosial, ketergantungan sosial ‘ , ‘Bersemangat dan motivasi berprestasi ‘, ‘Memiliki adaptasi yang cukup baik, bersifat egosentris, insecure dan rigid, berusaha kontrol secara cermat ‘, ‘Penuntut, menguasai, menentang kekuasaan, dorongan bermusuhan, yakin diri, anxiety, tegang, kerusakan otak organis, manic ‘, ‘Erotis protes/ kemungkinan ada konflik ‘, ‘Wajar, normal ‘, ‘oral agresif, mengkritik terus dapat dikatakan sadisme ‘, ‘Adanya dorongan agresif ‘, ‘Lancar , felksibel, seimbang dan merasa mampu ‘, ‘Menolak atau ketidaksediaan berhubungan dengan sosial. Psikopat, ingin berhubungan sosail tapi merasa kurang mampu, inferior, takut, dll. (pasif). (biasanya ada kombinasi dengan yang ada kancinya) ‘, ‘Wajar bagi anak kecil, Tendesi infantil (bagi orang dewasa) ‘, ‘normal ‘, ‘Biasa, mudah menyatakan dorongan, tanpa hambatan, sebaliknya mungkin menyatakan kefleksbelan terhadap kontrolm seksuil ‘]"
10_3,"[‘Kecenderungan ekshibisionis, merasa mampu diterima secara sosial, ketergantungan sosial ‘, ‘Bersemangat dan motivasi berprestasi ‘, ‘Dikuasai emosi, menekankan masa yang lalu, tendensi impulsif, self oriented, depresif tapi banyak frustasi, introfert, bayak dikendalikan ketaksadaran ‘, ‘Ada hambatan berhubungan dengan lingkungan, biasa nampak pada tendensi skizoid ‘, ‘Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala ‘, ‘Sifat kekacauan pada individu ‘, ‘Pikiran kacau ‘, ‘Oral agresif (suka mengkritik) tendensi menyerang secara oral, sinisme ‘, ‘Peka terhadap kritik ‘, ‘mungkin rigid, penggabungan impils yang baik ‘, ‘Lancar , felksibel, seimbang dan merasa mampu ‘, ‘Cenderung ke arah paranoid ‘, ‘normal ‘,  ‘Ketergantungan pada ibu (egosentris) ‘]"
