Id,Indikator
2_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
3_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
5_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
6_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
7_3,Normal
8_3,Tendensi aspirasi lebih besar dari pada kemampuan
9_3,Normal
10_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
11_3,Normal
12_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
13_3,Normal
14_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
15_3,Normal
16_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
17_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
18_3,Normal
19_3,Normal
20_3,Normal
21_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
22_3,Normal
23_3,Normal
24_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
25_3,Tendensi aspirasi lebih besar dari pada kemampuan
26_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
27_3,Normal
28_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
29_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
30_3,Normal
31_3,Normal
33_3,Tendensi aspirasi lebih besar dari pada kemampuan
35_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
37_3,Tendensi aspirasi lebih besar dari pada kemampuan
38_3,Tendensi aspirasi lebih besar dari pada kemampuan
39_3,Tendensi aspirasi lebih besar dari pada kemampuan
41_3,Normal
42_3,Normal
43_3,Normal
44_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
47_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
48_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
49_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
50_3,Normal
51_3,Normal
52_3,Normal
53_3,Normal
56_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
57_3,Normal
58_3,Normal
59_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
61_3,Tendensi aspirasi lebih besar dari pada kemampuan
63_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
64_3,Normal
65_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
66_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
67_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
68_3,Tendensi aspirasi lebih besar dari pada kemampuan
69_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
70_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
71_3,Tendensi aspirasi lebih besar dari pada kemampuan
72_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
74_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
75_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
76_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
79_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
80_3,Normal
81_3,Normal
82_3,Tendensi aspirasi lebih besar dari pada kemampuan
83_3,Normal
85_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
86_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
87_3,Normal
88_3,Tendensi aspirasi lebih besar dari pada kemampuan
89_3,Normal
90_3,Normal
91_3,Normal
92_3,Normal
93_3,Normal
95_3,Normal
96_3,Normal
97_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
99_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
101_3,Tendensi aspirasi lebih besar dari pada kemampuan
102_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
105_3,Normal
107_3,Tendensi aspirasi lebih besar dari pada kemampuan
109_3,Normal
112_3,Normal
113_3,Tendensi aspirasi lebih besar dari pada kemampuan
116_3,Normal
117_3,Tendensi aspirasi lebih besar dari pada kemampuan
118_3,Normal
121_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
122_3,Tendensi aspirasi lebih besar dari pada kemampuan
124_3,
125_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
126_3,Tendensi aspirasi lebih besar dari pada kemampuan
127_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
128_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
129_3,Normal
130_3,Normal
131_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
132_3,Tendensi aspirasi lebih besar dari pada kemampuan
133_3,Normal
134_3,Normal
135_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
136_3,Normal
137_3,Normal
138_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
139_3,Normal
140_3,Tendensi aspirasi lebih besar dari pada kemampuan
141_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
142_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
143_3,Tendensi aspirasi lebih besar dari pada kemampuan
144_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
145_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
146_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
147_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
148_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
149_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
150_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
151_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
152_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
153_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
154_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
155_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
156_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
157_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
158_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
159_3,Normal
160_3,Normal
161_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
162_3,Normal
163_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
164_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
165_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
166_3,Normal
167_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
168_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
169_3,Normal
170_3,Tendensi aspirasi lebih besar dari pada kemampuan
171_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
172_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
173_3,Normal
174_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
175_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
176_3,Tendensi aspirasi lebih besar dari pada kemampuan
177_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
178_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
179_3,Tendensi aspirasi lebih besar dari pada kemampuan
180_3,Normal
181_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
182_3,"Tendensi hambatan dalam hubungan sosial, neourotis"
183_3,Normal
184_3,Tendensi aspirasi lebih besar dari pada kemampuan
185_3,Normal
186_3,"Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala"
187_3,Normal
188_3,Normal
